ACCT_ID,SUBSCRIPTION_BILLABLE_TYPE,SUBSCRIPTION_TYPE,SKU_LENGTH,SUB_STATE,SUB_START_DATE,SUB_END_DATE
1.88368E+14,Paid,Wallet,1 month,Reclaim,2020-03-15,2020-04-15
1.88368E+14,Paid,Wallet,1 month,Renewal,2020-04-15,2020-05-15
1.88368E+14,Paid,Wallet,1 month,Renewal,2020-05-16,2020-06-16
1.88368E+14,Paid,Wallet,1 month,Renewal,2020-06-16,2020-07-16
1.88368E+14,Paid,Wallet,1 month,Renewal,2020-07-16,2020-08-16
1.88368E+14,Paid,Wallet,1 month,Renewal,2020-08-16,2020-09-16
1.88368E+14,Paid,Wallet,1 month,Reclaim,2020-10-19,2020-11-19
1.88368E+14,Paid,Wallet,1 month,Renewal,2020-11-19,2020-12-19
3.32317E+14,Paid,Wallet,1 month,Reclaim,2019-07-16,2019-08-16
7.15785E+14,Free,Trial,14 days,Trial,2019-07-02,2019-07-16
1.24177E+14,Paid,Retail,12 months,Renewal,2019-07-16,2020-07-16
1.24177E+14,Paid,Retail,12 months,Renewal,2020-07-16,2021-07-16
2.76332E+14,Free,Trial,14 days,Trial,2020-02-16,2020-03-01
7.36407E+14,Paid,Wallet,3 months,Renewal,2019-08-04,2019-11-04
7.36407E+14,Paid,Wallet,3 months,Renewal,2019-11-04,2020-02-04
7.36407E+14,Paid,Wallet,3 months,Renewal,2020-02-04,2020-05-04
7.36407E+14,Paid,Wallet,3 months,Renewal,2020-05-04,2020-08-04
7.36407E+14,Paid,Wallet,3 months,Renewal,2020-08-04,2020-11-04
7.36407E+14,Paid,Wallet,3 months,Renewal,2020-11-04,2021-02-04
3.93019E+14,Free,Trial,14 days,Trial,2020-08-26,2020-09-09
3.39298E+14,Free,Trial,14 days,Trial,2019-11-02,2019-11-16
3.1969E+14,Paid,Wallet,3 months,Renewal,2019-06-15,2019-09-15
3.1969E+14,Paid,Wallet,1 month,Renewal,2019-09-27,2019-10-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2019-10-27,2019-11-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2019-11-27,2019-12-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2019-12-27,2020-01-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-01-27,2020-02-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-02-27,2020-03-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-03-27,2020-04-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-04-27,2020-05-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-05-27,2020-06-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-06-27,2020-07-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-07-27,2020-08-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-08-27,2020-09-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-09-27,2020-10-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-10-27,2020-11-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-11-27,2020-12-27
3.1969E+14,Paid,Wallet,1 month,Renewal,2020-12-27,2021-01-27
3.68576E+14,Paid,Wallet,12 months,Renewal,2020-01-19,2021-01-19
3.39059E+14,Paid,Wallet,12 months,Acquisition,2020-04-14,2021-04-14
3.77559E+14,Free,Trial,14 days,Trial,2020-08-04,2020-08-18
5.48378E+14,Paid,Wallet,1 month,Reclaim,2019-07-27,2019-08-27
5.48378E+14,Paid,Wallet,1 month,Reclaim,2019-10-05,2019-11-05
5.48378E+14,Paid,Wallet,12 months,Reclaim,2019-12-21,2020-12-21
6.57122E+14,Paid,Wallet,1 month,Renewal,2019-06-28,2019-07-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2019-07-28,2019-08-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2019-08-28,2019-09-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2019-09-28,2019-10-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2019-10-28,2019-11-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2019-11-28,2019-12-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2019-12-28,2020-01-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-01-28,2020-02-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-02-28,2020-03-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-03-28,2020-04-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-04-28,2020-05-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-05-28,2020-06-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-06-28,2020-07-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-07-28,2020-08-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-08-28,2020-09-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-09-28,2020-10-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-10-28,2020-11-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-11-28,2020-12-28
6.57122E+14,Paid,Wallet,1 month,Renewal,2020-12-28,2021-01-28
6.24554E+14,Paid,Wallet,1 month,Acquisition,2020-03-21,2020-04-21
6.24554E+14,Paid,Wallet,1 month,Renewal,2020-04-21,2020-05-21
6.24554E+14,Paid,Wallet,1 month,Renewal,2020-05-21,2020-06-21
6.24554E+14,Paid,Wallet,1 month,Renewal,2020-06-21,2020-07-21
6.24554E+14,Paid,Wallet,1 month,Renewal,2020-07-21,2020-08-21
6.24554E+14,Paid,Wallet,1 month,Renewal,2020-08-21,2020-09-21
6.24554E+14,Paid,Wallet,1 month,Renewal,2020-09-21,2020-10-21
6.24554E+14,Paid,Wallet,1 month,Renewal,2020-10-21,2020-11-21
6.24554E+14,Paid,Wallet,1 month,Renewal,2020-11-21,2020-12-21
6.24554E+14,Paid,Wallet,1 month,Renewal,2020-12-21,2021-01-21
1.22747E+14,Paid,Wallet,1 month,Reclaim,2019-07-06,2019-08-06
1.22747E+14,Paid,Wallet,1 month,Renewal,2019-08-06,2019-09-06
1.22747E+14,Paid,Wallet,1 month,Renewal,2019-09-06,2019-10-06
1.22747E+14,Paid,Wallet,1 month,Reclaim,2019-11-19,2019-12-19
1.22747E+14,Paid,Wallet,1 month,Renewal,2019-12-19,2020-01-19
1.22747E+14,Paid,Wallet,1 month,Renewal,2020-01-19,2020-02-19
1.22747E+14,Paid,Wallet,1 month,Renewal,2020-02-19,2020-03-19
1.22747E+14,Paid,Wallet,1 month,Renewal,2020-03-19,2020-04-19
1.22747E+14,Paid,Wallet,1 month,Reclaim,2020-05-05,2020-06-05
1.22747E+14,Paid,Wallet,1 month,Renewal,2020-06-05,2020-07-05
1.22747E+14,Paid,Wallet,1 month,Renewal,2020-07-05,2020-08-05
1.22747E+14,Paid,Wallet,1 month,Renewal,2020-08-13,2020-09-13
1.22747E+14,Paid,Wallet,1 month,Renewal,2020-09-13,2020-10-13
1.22747E+14,Paid,Wallet,1 month,Reclaim,2020-11-08,2020-12-08
4.75064E+14,Paid,Retail,3 months,Reclaim,2019-07-11,2019-10-11
4.75064E+14,Paid,Retail,12 months,Renewal,2019-10-11,2020-10-11
4.75064E+14,Paid,Retail,12 months,Renewal,2020-10-15,2021-10-15
4.41271E+14,Free,Trial,14 days,Trial,2019-08-06,2019-08-20
4.41271E+14,Paid,Wallet,1 month,Acquisition,2019-08-20,2019-09-20
4.41271E+14,Paid,Retail,3 months,Reclaim,2019-12-25,2020-03-25
4.41271E+14,Paid,Wallet,1 month,Reclaim,2020-07-18,2020-08-18
4.41271E+14,Paid,Wallet,1 month,Renewal,2020-08-18,2020-09-18
4.41271E+14,Paid,Wallet,1 month,Renewal,2020-09-18,2020-10-18
2.07595E+14,Paid,Wallet,1 month,Reclaim,2019-08-12,2019-09-12
2.07595E+14,Paid,Wallet,1 month,Reclaim,2020-01-26,2020-02-26
2.07595E+14,Paid,Wallet,1 month,Reclaim,2020-03-17,2020-04-17
2.07595E+14,Paid,Wallet,1 month,Renewal,2020-04-17,2020-05-17
2.07595E+14,Paid,Wallet,1 month,Renewal,2020-05-17,2020-06-17
2.07595E+14,Paid,Wallet,1 month,Renewal,2020-06-17,2020-07-17
2.07595E+14,Paid,Wallet,1 month,Renewal,2020-07-17,2020-08-17
2.07595E+14,Paid,Wallet,1 month,Renewal,2020-08-17,2020-09-17
2.07595E+14,Paid,Wallet,1 month,Renewal,2020-09-17,2020-10-17
2.07595E+14,Paid,Wallet,1 month,Renewal,2020-10-17,2020-11-17
2.07595E+14,Paid,Wallet,1 month,Renewal,2020-11-17,2020-12-17
2.07595E+14,Paid,Wallet,1 month,Renewal,2020-12-17,2021-01-17
3.39744E+14,Paid,Wallet,12 months,Acquisition,2020-04-06,2021-04-06
5.08753E+14,Paid,Retail,3 months,Acquisition,2019-09-17,2019-12-17
6.57785E+14,Paid,Wallet,1 month,Reclaim,2019-08-25,2019-09-25
6.57785E+14,Paid,Wallet,1 month,Reclaim,2019-10-04,2019-11-04
6.57785E+14,Paid,Wallet,1 month,Renewal,2019-11-12,2019-12-12
6.57785E+14,Paid,Wallet,1 month,Renewal,2019-12-12,2020-01-12
6.57785E+14,Paid,Wallet,1 month,Renewal,2020-01-12,2020-02-12
6.57785E+14,Paid,Wallet,1 month,Renewal,2020-02-12,2020-03-12
6.57785E+14,Paid,Wallet,1 month,Renewal,2020-03-12,2020-04-12
6.57785E+14,Paid,Wallet,1 month,Renewal,2020-04-12,2020-05-12
6.57785E+14,Paid,Wallet,1 month,Renewal,2020-05-24,2020-06-24
6.57785E+14,Paid,Wallet,1 month,Renewal,2020-06-24,2020-07-24
6.57785E+14,Paid,Wallet,1 month,Renewal,2020-07-24,2020-08-24
6.57785E+14,Paid,Wallet,1 month,Renewal,2020-08-26,2020-09-26
6.57785E+14,Paid,Wallet,1 month,Renewal,2020-09-29,2020-10-29
6.57785E+14,Paid,Wallet,1 month,Reclaim,2020-11-05,2020-12-05
6.57785E+14,Paid,Wallet,1 month,Renewal,2020-12-17,2021-01-17
5.59852E+14,Free,Trial,14 days,Trial,2020-07-15,2020-07-29
5.59852E+14,Paid,Wallet,1 month,Acquisition,2020-07-29,2020-08-29
6.81798E+14,Paid,Wallet,12 months,Renewal,2020-05-26,2021-05-26
6.87515E+14,Free,Trial,14 days,Trial,2020-06-02,2020-06-16
8.40789E+14,Paid,Retail,12 months,Reclaim,2020-04-07,2021-04-07
1.00615E+14,Paid,Retail,3 months,Reclaim,2019-10-07,2020-01-07
1.00615E+14,Paid,Retail,3 months,Renewal,2020-01-24,2020-04-24
1.00615E+14,Paid,Wallet,1 month,Renewal,2020-04-24,2020-05-24
1.00615E+14,Paid,Retail,3 months,Reclaim,2020-10-14,2021-01-14
7.07559E+14,Paid,Wallet,3 months,Renewal,2019-08-19,2019-11-19
7.07559E+14,Paid,Wallet,1 month,Renewal,2019-11-20,2019-12-20
7.07559E+14,Paid,Wallet,1 month,Renewal,2019-12-20,2020-01-20
7.07559E+14,Paid,Wallet,1 month,Renewal,2020-01-20,2020-02-20
7.07559E+14,Paid,Wallet,1 month,Renewal,2020-02-20,2020-03-20
7.07559E+14,Paid,Wallet,1 month,Renewal,2020-03-24,2020-04-24
7.07559E+14,Paid,Wallet,12 months,Renewal,2020-04-24,2021-04-24
4.67729E+14,Free,Trial,14 days,Trial,2020-03-19,2020-04-02
8.46374E+14,Paid,Wallet,12 months,Renewal,2020-01-02,2021-01-02
4.63142E+14,Paid,Wallet,1 month,Reclaim,2020-05-06,2020-06-06
4.63142E+14,Paid,Wallet,1 month,Renewal,2020-06-06,2020-07-06
4.63142E+14,Paid,Wallet,12 months,Renewal,2020-07-06,2021-07-06
9.15061E+14,Free,Trial,14 days,Trial,2019-09-02,2019-09-16
2.19523E+14,Paid,Wallet,1 month,Acquisition,2020-01-17,2020-02-17
2.19523E+14,Paid,Wallet,1 month,Renewal,2020-02-17,2020-03-17
